hotel_id,name,mobile_link,description,base_price,sale_price,link,image,phone,address,neighborhood,latitude,longitude,guest_ratings,star_rating,loyalty_program,applink,activity,custom_label_0,custom_label_1,custom_label_2,custom_label_3,custom_label_4
1,Snapchat Hotel,https://www.m.snapchat.com/hotel,Only 10 minutes away from Seattle.,200 USD,198 USD,https://www.snapchat.com,"[{""link"": ""https://storage.googleapis.com/snapchat-pcs-test-assets/image1926.jpg"", ""tag"": [""Swimming pool"", ""Gym""]}, {""link"": ""https://storage.googleapis.com/snapchat-pcs-test-assets/image0.jpg"", ""tag"": [""Lobby view"", ""Overview""]}]",15553198564,"{""addr1"":""1600 Pennsylvania Avenue"",""addr2"":""Unit 1"",""city"":""Los Angeles"",""region"":""California"",""postal_code"":""90210"",""country"":""US""}","[""uptown"", ""downtown""]",48.858353,2.294464,"{""rating_system"": ""tripAdvisor"", ""score"": ""7.8"", ""max_score"": ""10"", ""number_of_reviewers"": ""300""}",3.5,Premium program,"{""icon_media_url"": ""https://storage.googleapis.com/snapchat-pcs-test-assets/snap-icon.png"",""ios_url"": ""myapp://a/random/path"", ""ios_app_name"": ""Snapchat's Hotel App"", ""ios_app_store_id"": ""427916203"", ""android_url"": ""https://snapchathoteldeeplink.com"", ""android_app_name"": ""Snapchat's Hotel App"",""android_package"": ""com.snap.hotel""}",active,custom label 0,custom label 1,custom label 2,custom label 3,custom label 4
2,hotel2,https://www.m.snapchat.com/hotel2,A fantastic hotel,210 USD,190 USD,https://www.snapchat.com,"[{""link"": ""https://storage.googleapis.com/snapchat-pcs-test-assets/image1926.jpg"", ""tag"": [""Swimming pool"", ""Gym""]}, {""link"": ""https://storage.googleapis.com/snapchat-pcs-test-assets/image0.jpg"", ""tag"": [""Lobby view"", ""Overview""]}]",15553198564,"{""addr1"":""1600 SnapHotel St"",""addr2"":""Unit 5"",""city"":""Los Vegas"",""region"":""Nevada"",""postal_code"":""12345"",""country"":""US""}","[""uptown"", ""aroundtown""]",50,50,"{""rating_system"": ""tripAdvisor"", ""score"": ""7.8"", ""max_score"": ""10"", ""number_of_reviewers"": ""300""}",4,Fantastic program,"{""icon_media_url"": ""https://storage.googleapis.com/snapchat-pcs-test-assets/snap-icon.png"",""ios_url"": ""myapp://a/random/path"", ""ios_app_name"": ""Snapchat's Hotel App"", ""ios_app_store_id"": ""427916203"", ""android_url"": ""https://snapchathoteldeeplink.com"", ""android_app_name"": ""Snapchat's Hotel App"",""android_package"": ""com.snap.hotel""}",active,,,,,
3,Motel 17,https://www.m.snapchat.com/hotel3,Dingy motel,300 USD,50 USD,https://www.snapchat.com,"[{""link"": ""https://storage.googleapis.com/snapchat-pcs-test-assets/image1926.jpg"", ""tag"": [""Swimming pool"", ""Gym""]}, {""link"": ""https://storage.googleapis.com/snapchat-pcs-test-assets/image0.jpg"", ""tag"": [""Lobby view"", ""Overview""]}]",15553198564,"{""addr1"":""123 Hotel St"",""addr2"":""Unit 1"",""city"":""Los Angeles"",""region"":""California"",""postal_code"":""90210"",""country"":""US""}","[""uptown"", ""downtown""]",70,70,"{""rating_system"": ""tripAdvisor"", ""score"": ""7.8"", ""max_score"": ""10"", ""number_of_reviewers"": ""300""}",3,Mogram,"{""icon_media_url"": ""https://storage.googleapis.com/snapchat-pcs-test-assets/snap-icon.png"",""ios_url"": ""myapp://a/random/path"", ""ios_app_name"": ""Snapchat's Hotel App"", ""ios_app_store_id"": ""427916203"", ""android_url"": ""https://snapchathoteldeeplink.com"", ""android_app_name"": ""Snapchat's Hotel App"",""android_package"": ""com.snap.hotel""}",active,,,,,
4,Marriott,https://www.m.snapchat.com/hotel4,Close to San Diego!,350 USD,190 USD,https://www.snapchat.com,"[{""link"": ""https://storage.googleapis.com/snapchat-pcs-test-assets/image1926.jpg"", ""tag"": [""Swimming pool"", ""Gym""]}, {""link"": ""https://storage.googleapis.com/snapchat-pcs-test-assets/image0.jpg"", ""tag"": [""Lobby view"", ""Overview""]}]",15553198564,"{""addr1"":""1604 Pennsylvania Avenue"",""addr2"":""Unit 1"",""city"":""San Diego"",""region"":""California"",""postal_code"":""92110"",""country"":""US""}","[""motown"", ""downtown""]",50,70,"{""rating_system"": ""tripAdvisor"", ""score"": ""7.8"", ""max_score"": ""10"", ""number_of_reviewers"": ""300""}",2,Marriott rewards,"{""icon_media_url"": ""https://storage.googleapis.com/snapchat-pcs-test-assets/snap-icon.png"",""ios_url"": ""myapp://a/random/path"", ""ios_app_name"": ""Snapchat's Hotel App"", ""ios_app_store_id"": ""427916203"", ""android_url"": ""https://snapchathoteldeeplink.com"", ""android_app_name"": ""Snapchat's Hotel App"",""android_package"": ""com.snap.hotel""}",active,,,,,
5,Hilton,https://www.m.snapchat.com/hotel,Only 10 minutes away from Seattle.,200 USD,198 USD,https://www.snapchat.com,"[{""link"": ""https://storage.googleapis.com/snapchat-pcs-test-assets/image1926.jpg"", ""tag"": [""Swimming pool"", ""Gym""]}, {""link"": ""https://storage.googleapis.com/snapchat-pcs-test-assets/image0.jpg"", ""tag"": [""Lobby view"", ""Overview""]}]",15553198564,"{""addr1"":""1600 Pennsylvania Avenue"",""addr2"":""Unit 1"",""city"":""Los Angeles"",""region"":""California"",""postal_code"":""90210"",""country"":""US""}","[""uptown"", ""aroundtown"", ""motown""]",60,80,"{""rating_system"": ""tripAdvisor"", ""score"": ""7.8"", ""max_score"": ""10"", ""number_of_reviewers"": ""300""}",3.5,hhonors,"{""icon_media_url"": ""https://storage.googleapis.com/snapchat-pcs-test-assets/snap-icon.png"",""ios_url"": ""myapp://a/random/path"", ""ios_app_name"": ""Snapchat's Hotel App"", ""ios_app_store_id"": ""427916203"", ""android_url"": ""https://snapchathoteldeeplink.com"", ""android_app_name"": ""Snapchat's Hotel App"",""android_package"": ""com.snap.hotel""}",active,a label 1,custom label 1,custom label 2,custom label 3,custom label 4
6,Jeffs cool hotel,https://www.m.snapchat.com/hotel2,A fantastic hotel,210 USD,190 USD,https://www.snapchat.com,"[{""link"": ""https://storage.googleapis.com/snapchat-pcs-test-assets/image1926.jpg"", ""tag"": [""Swimming pool"", ""Gym""]}, {""link"": ""https://storage.googleapis.com/snapchat-pcs-test-assets/image0.jpg"", ""tag"": [""Lobby view"", ""Overview""]}]",15553198564,"{""addr1"":""1600 SnapHotel St"",""addr2"":""Unit 5"",""city"":""Los Vegas"",""region"":""Nevada"",""postal_code"":""12345"",""country"":""US""}","[""uptown"", ""downtown""]",80,90,"{""rating_system"": ""tripAdvisor"", ""score"": ""7.8"", ""max_score"": ""10"", ""number_of_reviewers"": ""300""}",3,jeff!,"{""icon_media_url"": ""https://storage.googleapis.com/snapchat-pcs-test-assets/snap-icon.png"",""ios_url"": ""myapp://a/random/path"", ""ios_app_name"": ""Snapchat's Hotel App"", ""ios_app_store_id"": ""427916203"", ""android_url"": ""https://snapchathoteldeeplink.com"", ""android_app_name"": ""Snapchat's Hotel App"",""android_package"": ""com.snap.hotel""}",inactive,Mr label 1,Mr label 2,,,
7,Penthouse,https://www.m.snapchat.com/hotel4,Close to San Diego!,350 USD,190 USD,https://www.snapchat.com,"[{""link"": ""https://storage.googleapis.com/snapchat-pcs-test-assets/image1926.jpg"", ""tag"": [""Swimming pool"", ""Gym""]}, {""link"": ""https://storage.googleapis.com/snapchat-pcs-test-assets/image0.jpg"", ""tag"": [""Lobby view"", ""Overview""]}]",15553198564,"{""addr1"":""123 Hotel St"",""addr2"":""Unit 1"",""city"":""Los Angeles"",""region"":""California"",""postal_code"":""90210"",""country"":""US""}","[""uptown"", ""downtown""]",80,90,"{""rating_system"": ""tripAdvisor"", ""score"": ""7.8"", ""max_score"": ""10"", ""number_of_reviewers"": ""300""}",4.9,Premium program,"{""icon_media_url"": ""https://storage.googleapis.com/snapchat-pcs-test-assets/snap-icon.png"",""ios_url"": ""myapp://a/random/path"", ""ios_app_name"": ""Snapchat's Hotel App"", ""ios_app_store_id"": ""427916203"", ""android_url"": ""https://snapchathoteldeeplink.com"", ""android_app_name"": ""Snapchat's Hotel App"",""android_package"": ""com.snap.hotel""}",active,,,,,
8,Motel 18,https://www.m.snapchat.com/hotel3,Dingy motel,300 USD,50 USD,https://www.snapchat.com,"[{""link"": ""https://storage.googleapis.com/snapchat-pcs-test-assets/image1926.jpg"", ""tag"": [""Swimming pool"", ""Gym""]}, {""link"": ""https://storage.googleapis.com/snapchat-pcs-test-assets/image0.jpg"", ""tag"": [""Lobby view"", ""Overview""]}]",15553198564,"{""addr1"":""1604 Pennsylvania Avenue"",""addr2"":""Unit 1"",""city"":""San Diego"",""region"":""California"",""postal_code"":""92110"",""country"":""US""}","[""uptown"", ""downtown""]",-15,50,"{""rating_system"": ""tripAdvisor"", ""score"": ""7.8"", ""max_score"": ""10"", ""number_of_reviewers"": ""300""}",1,Premium program,"{""icon_media_url"": ""https://storage.googleapis.com/snapchat-pcs-test-assets/snap-icon.png"",""ios_url"": ""myapp://a/random/path"", ""ios_app_name"": ""Snapchat's Hotel App"", ""ios_app_store_id"": ""427916203"", ""android_url"": ""https://snapchathoteldeeplink.com"", ""android_app_name"": ""Snapchat's Hotel App"",""android_package"": ""com.snap.hotel""}",active,,,,,
9,Dungeon Hotel,https://www.m.snapchat.com/hotel4,There are dragons,500 USD,5 USD,https://www.snapchat.com,"[{""link"": ""https://storage.googleapis.com/snapchat-pcs-test-assets/image1926.jpg"", ""tag"": [""Swimming pool"", ""Gym""]}, {""link"": ""https://storage.googleapis.com/snapchat-pcs-test-assets/image0.jpg"", ""tag"": [""Lobby view"", ""Overview""]}]",15553198564,"{""addr1"":""1604 Pennsylvania Avenue"",""addr2"":""Unit 1"",""city"":""Los Angeles"",""region"":""California"",""postal_code"":""90210"",""country"":""US""}",,30,30,"{""rating_system"": ""JeffsSystem"", ""score"": ""9.9"", ""max_score"": ""10"", ""number_of_reviewers"": ""300""}",5,Premium program,"{""icon_media_url"": ""https://storage.googleapis.com/snapchat-pcs-test-assets/snap-icon.png"",""ios_url"": ""myapp://a/random/path"", ""ios_app_name"": ""Snapchat's Hotel App"", ""ios_app_store_id"": ""427916203"", ""android_url"": ""https://snapchathoteldeeplink.com"", ""android_app_name"": ""Snapchat's Hotel App"",""android_package"": ""com.snap.hotel""}",inactive,,,,,
10,Moms basement,https://www.m.snapchat.com/hotel3,Rent is free!,1 USD,1 USD,https://www.snapchat.com,"[{""link"": ""https://storage.googleapis.com/snapchat-pcs-test-assets/image1926.jpg"", ""tag"": [""Swimming pool"", ""Gym""]}, {""link"": ""https://storage.googleapis.com/snapchat-pcs-test-assets/image0.jpg"", ""tag"": [""Lobby view"", ""Overview""]}]",15553198564,"{""addr1"":""1603 Pennsylvania Avenue"",""addr2"":""Unit 1"",""city"":""Los Angeles"",""region"":""California"",""postal_code"":""90210"",""country"":""US""}",,10,30,"{""rating_system"": ""NotJeffsSystem"", ""score"": ""2.0"", ""max_score"": ""5"", ""number_of_reviewers"": ""300""}",4,Premium program,"{""icon_media_url"": ""https://storage.googleapis.com/snapchat-pcs-test-assets/snap-icon.png"",""ios_url"": ""myapp://a/random/path"", ""ios_app_name"": ""Snapchat's Hotel App"", ""ios_app_store_id"": ""427916203"", ""android_url"": ""https://snapchathoteldeeplink.com"", ""android_app_name"": ""Snapchat's Hotel App"",""android_package"": ""com.snap.hotel""}",inactive,,,,,
